Country,Year,GDP,Urban_population,Industry,Business,Mining,Manufacturing,Electricity_supply,Water_supply,Construction,Retail trade,Transportation,Accommodation,Information,Financial,Real estate,Professional_scientific,Administrative,Education,Human_health,Arts,Other
Austria,2010,35390,57,24,25,18,24,23,12,9,27,7,9,21,30,27,34,22,27,12,34,32
Austria,2011,36300,57,23,24,9,19,11,2,0,20,4,10,19,27,13,19,8,11,18,17,17
Austria,2012,36390,57,22,24,9,19,11,2,0,20,4,10,19,27,13,19,8,11,18,17,17
Austria,2013,36180,57,22,23,9,19,11,2,0,20,4,10,19,27,13,19,8,11,18,17,17
Austria,2014,36130,57,22,23,15,23,19,10,8,23,10,7,22,30,27,31,19,24,12,26,28
Austria,2015,36140,57,21,23,13,22,17,9,8,23,11,6,22,30,28,31,20,24,12,26,28
Austria,2016,36390,57,20,22,14,21,13,8,8,23,14,5,20,27,28,30,17,24,14,20,27
Austria,2017,36980,58,20,22,10,21,13,8,8,23,12,5,20,28,29,29,17,23,15,19,26
Austria,2018,37690,58,20,22,7,21,14,8,8,23,11,5,20,28,29,28,17,23,15,18,26
Austria,2019,38090,58,19,21,8,20,13,8,8,22,11,4,20,28,28,27,16,23,14,17,25
Austria,2020,35480,58,18,20,6,20,12,7,8,21,12,5,20,27,27,26,17,23,14,17,24
Austria,2021,36950,59,18,20,6,20,12,7,7,21,10,4,19,27,27,25,16,22,13,15,24
Belgium,2010,33330,97,10,15,-13,11,29,0,-1,17,4,8,15,22,17,19,17,3,9,8,20
Belgium,2011,33460,97,9,14,-10,10,27,-1,-2,15,4,7,14,21,14,18,15,3,6,6,20
Belgium,2012,33490,97,8,13,-7,8,26,-1,-4,14,4,7,13,21,10,17,13,3,4,5,21
Belgium,2013,33490,97,7,12,-4,7,24,-1,-5,13,5,6,12,20,7,16,11,3,1,3,21
Belgium,2014,33870,97,6,11,-1,6,22,-2,-6,12,5,5,11,20,3,15,9,2,0,1,22
Belgium,2015,34360,97,6,10,-1,7,18,1,-3,11,5,4,11,17,5,12,9,3,0,1,17
Belgium,2016,34620,97,6,10,-2,8,14,5,0,11,4,4,11,13,6,10,8,4,1,1,13
Belgium,2017,35050,97,5,10,-2,9,10,8,3,10,4,3,11,10,8,8,8,4,1,0,8
Belgium,2018,35510,98,5,10,-3,10,6,11,7,10,3,3,11,6,10,5,8,5,2,0,4
Belgium,2019,36110,98,5,9,-3,10,5,11,7,10,3,3,11,6,9,5,8,5,2,0,4
Belgium,2020,34010,98,5,9,-3,10,5,11,6,9,3,2,10,6,9,5,8,5,2,0,3
Belgium,2021,35950,98,5,9,-4,9,6,11,6,9,2,2,11,7,9,4,8,4,2,0,3
Bulgaria,2010,5080,72,13,14,15,24,15,8,-4,11,16,9,13,24,0,8,-7,13,27,18,0
Bulgaria,2011,5320,72,13,13,16,25,20,6,-8,9,14,11,9,20,0,6,-15,11,25,18,5
Bulgaria,2012,5390,72,15,15,21,26,15,9,-6,12,12,13,14,25,8,12,-14,13,29,18,0
Bulgaria,2013,5390,73,14,14,17,26,13,13,-8,11,8,8,17,24,10,14,-14,12,28,16,-1
Bulgaria,2014,5470,73,14,14,16,25,14,15,-8,14,4,11,17,23,10,13,-27,15,29,13,3
Bulgaria,2015,5700,73,15,14,17,25,8,17,-10,15,6,10,19,22,4,11,-28,17,32,12,4
Bulgaria,2016,5910,74,14,13,15,23,11,14,-12,13,8,9,19,22,3,4,-27,14,31,17,-3
Bulgaria,2017,6120,74,14,13,14,22,12,9,-13,12,10,8,21,24,-2,8,-29,13,30,20,-2
Bulgaria,2018,6330,75,13,13,12,22,11,7,-14,12,10,6,21,25,-11,12,-33,12,29,23,-7
Bulgaria,2019,6630,75,14,14,13,22,8,5,-11,12,11,7,22,29,-7,16,-29,9,29,24,-2
Bulgaria,2020,6410,75,12,13,12,22,6,8,-15,11,10,4,22,32,-10,9,-26,9,27,23,0
Bulgaria,2021,6950,76,12,14,13,22,7,8,-14,14,8,7,22,33,-7,15,-22,9,26,22,-1
Croatia,2010,10650,55,5,16,-4,18,11,5,-21,12,12,12,16,7,18,5,10,19,24,15,17
Croatia,2011,10680,55,13,16,9,19,11,2,0,20,4,10,19,27,13,19,8,11,18,17,17
Croatia,2012,10460,55,13,16,9,19,11,2,0,20,4,10,19,27,13,19,8,11,18,17,17
Croatia,2013,10450,55,7,9,0,18,3,0,-28,20,9,12,19,12,13,16,-7,11,20,14,24
Croatia,2014,10460,55,8,10,-2,19,0,0,-24,21,6,9,11,21,11,6,-10,12,19,9,21
Croatia,2015,10790,56,13,16,9,19,11,2,0,20,4,10,19,27,13,19,8,11,18,17,17
Croatia,2016,11270,56,11,11,3,20,1,-2,-13,16,0,13,11,4,8,16,-14,15,14,14,22
Croatia,2017,11770,56,12,12,0,20,0,-4,-19,20,2,13,12,24,4,15,3,16,19,15,27
Croatia,2018,12220,56,11,12,4,21,0,-4,-19,19,0,12,12,24,2,16,5,14,16,15,31
Croatia,2019,12710,57,11,13,4,21,0,-3,-17,19,1,12,12,24,2,16,7,14,17,15,32
Croatia,2020,11680,57,11,12,4,21,1,-3,-17,19,1,12,12,24,2,16,7,15,17,15,32
Croatia,2021,13500,57,11,12,5,23,0,-2,-15,18,1,14,13,23,1,15,7,15,17,16,33
Cyprus,2010,23460,67,16,26,15,33,19,-6,16,31,36,22,24,27,15,33,19,11,37,37,48
Cyprus,2011,22970,67,16,24,16,32,17,-6,14,30,34,20,21,26,14,34,16,10,36,45,45
Cyprus,2012,21840,67,15,24,17,30,12,-5,10,28,32,18,24,25,13,35,14,8,24,52,41
